pdf_stem,pdf_path,collection,year,month,model_tier,decade,failure_domain,failure_stage,failure_error_type,failure_detail,grid_status,grid_error_type,grid_confidence,location_status,location_error_type,location_section,location_township,location_range,county_status,county_error_type,county_name,dot_status,dot_error_type,dot_confidence,latlong_status,latlong_error_type,resolution_source,flags
35037162690000_S S MUSSELLEM 25_2005432,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/35037162690000_S S MUSSELLEM 25_2005432.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,89,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
35071029380000_SYMONS 13_2288916,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/35071029380000_SYMONS 13_2288916.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,keyword_not_found,,done,,98,skipped,,,
35071030540000_CLUBB IKE 1_2005575,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/35071030540000_CLUBB IKE 1_2005575.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,98,skipped,,,
35071030830000_R H RHODES 2_2005504,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/35071030830000_R H RHODES 2_2005504.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,90,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
35071030900000_SAM WOODS FARM 1_2005446,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/35071030900000_SAM WOODS FARM 1_2005446.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,failed,exception,,skipped,,,
35071031790000_WILMONT JONES 1_2005311,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/35071031790000_WILMONT JONES 1_2005311.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
35071031790000_WILMONT JONES 1_2288965,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/35071031790000_WILMONT JONES 1_2288965.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
35071031940000_THOMPSON E 3_2005243,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/35071031940000_THOMPSON E 3_2005243.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,100,skipped,,,
35071031940000_THOMPSON E 3_2288934,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/35071031940000_THOMPSON E 3_2288934.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,100,skipped,,,
35071031950000_THOMPSON E 4_2005423,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/35071031950000_THOMPSON E 4_2005423.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
