collection,year,month,local_count,s3_count,diff,status
8,1982,02 - February,1193,1193,0,OK
8,1982,03 - March,1907,1907,0,OK
8,1982,04 - April,1647,1647,0,OK
8,1982,05 - May,1271,1271,0,OK
8,1982,06 - June,1149,1149,0,OK
8,1982,07 - July,1491,1491,0,OK
8,1982,08 - August,1393,1393,0,OK
8,1982,09 - September,1189,1189,0,OK
8,1982,10 - October,1197,1197,0,OK
8,1982,11 - November,1136,1136,0,OK
8,1982,12 - December,1115,1115,0,OK
9,1983,01 - January,1250,1250,0,OK
9,1983,02 - February,851,851,0,OK
9,1983,03 - March,1113,1113,0,OK
9,1983,04 - April,928,928,0,OK
9,1983,05 - May,947,947,0,OK
9,1983,06 - June,1042,1042,0,OK
9,1983,07 - July,1092,1092,0,OK
9,1983,08 - August,1190,1190,0,OK
9,1983,09 - September,1045,1045,0,OK
9,1983,10 - October,1055,1055,0,OK
9,1983,11 - November,1124,1124,0,OK
9,1983,12 - December,993,993,0,OK
9,1984,01 - January,1142,1142,0,OK
9,1984,02 - February,1153,1153,0,OK
9,1984,03 - March,1063,1063,0,OK
9,1984,04 - April,1039,1039,0,OK
9,1984,05 - May,1185,1185,0,OK
9,1984,06 - June,1192,1192,0,OK
9,1984,07 - July,1200,1200,0,OK
9,1984,08 - August,1237,1237,0,OK
9,1984,09 - September,1002,1002,0,OK
9,1984,10 - October,1095,1095,0,OK
9,1984,11 - November,1090,1090,0,OK
9,1984,12 - December,1079,1079,0,OK
9,1985,01 - January,982,982,0,OK
9,1985,02 - February,810,810,0,OK
9,1985,03 - March,966,966,0,OK
9,1985,04 - April,955,955,0,OK
9,1985,05 - May,933,933,0,OK
9,1985,06 - June,852,852,0,OK
9,1985,07 - July,1019,1019,0,OK
9,1985,08 - August,1051,1051,0,OK
9,1985,09 - September,854,854,0,OK
9,1985,10 - October,887,887,0,OK
9,1985,11 - November,800,800,0,OK
9,1985,12 - December,866,866,0,OK
9,1986,01 - January,1013,1013,0,OK
9,1986,02 - February,786,786,0,OK
9,1986,03 - March,694,694,0,OK
9,1986,04 - April,569,569,0,OK
9,1986,05 - May,443,443,0,OK
9,1986,06 - June,404,404,0,OK
9,1986,07 - July,424,424,0,OK
9,1986,08 - August,436,436,0,OK
9,1986,09 - September,431,431,0,OK
9,1986,10 - October,420,420,0,OK
9,1986,11 - November,457,457,0,OK
9,1986,12 - December,530,530,0,OK
9,1987,01 - January,428,428,0,OK
9,1987,02 - February,372,372,0,OK
9,1987,03 - March,416,416,0,OK
9,1987,04 - April,437,437,0,OK
9,1987,05 - May,464,464,0,OK
9,1987,06 - June,421,421,0,OK
9,1987,07 - July,542,542,0,OK
9,1987,08 - August,609,609,0,OK
9,1987,09 - September,523,523,0,OK
9,1987,10 - October,632,632,0,OK
9,1987,11 - November,513,513,0,OK
9,1987,12 - December,532,532,0,OK
10,1988,01 - January,381,381,0,OK
10,1988,02 - February,450,450,0,OK
10,1988,03 - March,435,435,0,OK
10,1988,04 - April,433,433,0,OK
10,1988,05 - May,482,482,0,OK
10,1988,06 - June,529,529,0,OK
10,1988,07 - July,423,423,0,OK
10,1988,08 - August,461,461,0,OK
10,1988,09 - September,432,432,0,OK
10,1988,10 - October,412,412,0,OK
10,1988,11 - November,354,354,0,OK
10,1988,12 - December,414,414,0,OK
10,1989,01 - January,386,386,0,OK
10,1989,02 - February,252,252,0,OK
10,1989,03 - March,332,332,0,OK
10,1989,04 - April,429,429,0,OK
10,1989,05 - May,368,368,0,OK
10,1989,06 - June,333,333,0,OK
10,1989,07 - July,387,387,0,OK
10,1989,08 - August,387,387,0,OK
10,1989,09 - September,365,365,0,OK
10,1989,10 - October,399,399,0,OK
10,1989,11 - November,407,407,0,OK
10,1989,12 - December,423,423,0,OK
10,1990,01 - January,460,460,0,OK
10,1990,02 - February,347,347,0,OK
10,1990,03 - March,310,310,0,OK
10,1990,04 - April,293,293,0,OK
10,1990,05 - May,367,367,0,OK
10,1990,06 - June,374,374,0,OK
10,1990,07 - July,396,396,0,OK
10,1990,08 - August,423,423,0,OK
10,1990,09 - September,389,389,0,OK
10,1990,10 - October,471,471,0,OK
10,1990,11 - November,418,418,0,OK
10,1990,12 - December,400,400,0,OK
10,1991,01 - January,374,374,0,OK
10,1991,02 - February,406,406,0,OK
10,1991,03 - March,432,432,0,OK
10,1991,04 - April,376,376,0,OK
10,1991,05 - May,376,376,0,OK
10,1991,06 - June,372,372,0,OK
10,1991,07 - July,346,346,0,OK
10,1991,08 - August,378,378,0,OK
10,1991,09 - September,283,283,0,OK
10,1991,10 - October,348,348,0,OK
10,1991,11 - November,268,268,0,OK
10,1991,12 - December,322,322,0,OK
10,1992,01 - January,250,250,0,OK
10,1992,02 - February,239,239,0,OK
10,1992,03 - March,330,330,0,OK
10,1992,04 - April,254,254,0,OK
10,1992,05 - May,270,270,0,OK
10,1992,06 - June,232,232,0,OK
10,1992,07 - July,282,282,0,OK
10,1992,08 - August,287,287,0,OK
10,1992,09 - September,289,289,0,OK
10,1992,10 - October,314,314,0,OK
10,1992,11 - November,257,257,0,OK
10,1992,12 - December,323,323,0,OK
10,1993,01 - January,250,250,0,OK
10,1993,02 - February,267,267,0,OK
10,1993,03 - March,272,272,0,OK
10,1993,04 - April,253,253,0,OK
10,1993,05 - May,226,226,0,OK
10,1993,06 - June,284,284,0,OK
10,1993,07 - July,271,271,0,OK
10,1993,08 - August,404,404,0,OK
10,1993,09 - September,290,290,0,OK
10,1993,10 - October,314,314,0,OK
10,1993,11 - November,317,317,0,OK
10,1993,12 - December,342,342,0,OK
10,1994,01 - January,280,280,0,OK
10,1994,02 - February,206,206,0,OK
10,1994,03 - March,234,234,0,OK
10,1994,04 - April,239,239,0,OK
10,1994,05 - May,196,196,0,OK
10,1994,06 - June,238,238,0,OK
10,1994,07 - July,261,261,0,OK
10,1994,08 - August,267,267,0,OK
10,1994,09 - September,238,238,0,OK
10,1994,10 - October,270,270,0,OK
10,1994,11 - November,239,239,0,OK
10,1994,12 - December,249,249,0,OK
10,1995,01 - January,280,280,0,OK
10,1995,02 - February,259,259,0,OK
10,1995,03 - March,215,215,0,OK
10,1995,04 - April,217,217,0,OK
10,1995,05 - May,270,270,0,OK
10,1995,06 - June,197,197,0,OK
10,1995,07 - July,223,223,0,OK
10,1995,08 - August,286,286,0,OK
10,1995,09 - September,242,242,0,OK
10,1995,10 - October,277,277,0,OK
10,1995,11 - November,254,254,0,OK
10,1995,12 - December,262,262,0,OK
10,1996,01 - January,281,281,0,OK
10,1996,02 - February,225,225,0,OK
10,1996,03 - March,250,250,0,OK
10,1996,04 - April,237,237,0,OK
10,1996,05 - May,216,216,0,OK
10,1996,06 - June,182,182,0,OK
10,1996,07 - July,244,244,0,OK
10,1996,08 - August,233,233,0,OK
10,1996,09 - September,314,314,0,OK
10,1996,10 - October,349,349,0,OK
10,1996,11 - November,392,392,0,OK
10,1996,12 - December,330,330,0,OK
10,1997,01 - January,359,359,0,OK
10,1997,02 - February,410,410,0,OK
10,1997,03 - March,380,380,0,OK
10,1997,04 - April,455,455,0,OK
10,1997,05 - May,423,423,0,OK
10,1997,06 - June,549,549,0,OK
10,1997,07 - July,465,465,0,OK
10,1997,08 - August,378,378,0,OK
10,1997,09 - September,448,448,0,OK
10,1997,10 - October,545,545,0,OK
10,1997,11 - November,379,379,0,OK
10,1997,12 - December,434,434,0,OK
10,1998,01 - January,498,498,0,OK
10,1998,02 - February,410,410,0,OK
10,1998,03 - March,426,426,0,OK
10,1998,04 - April,398,398,0,OK
10,1998,05 - May,480,480,0,OK
10,1998,06 - June,394,394,0,OK
10,1998,07 - July,453,453,0,OK
10,1998,08 - August,463,463,0,OK
10,1998,09 - September,518,518,0,OK
10,1998,10 - October,432,432,0,OK
10,1998,11 - November,283,283,0,OK
10,1998,12 - December,256,256,0,OK
10,1999,01 - January,209,209,0,OK
10,1999,02 - February,211,211,0,OK
10,1999,03 - March,234,234,0,OK
10,1999,04 - April,237,237,0,OK
10,1999,05 - May,246,246,0,OK
10,1999,06 - June,328,328,0,OK
10,1999,07 - July,340,340,0,OK
10,1999,08 - August,579,579,0,OK
10,1999,09 - September,564,564,0,OK
10,1999,10 - October,583,583,0,OK
10,1999,11 - November,472,472,0,OK
10,1999,12 - December,633,633,0,OK
10,2000,01 - January,332,332,0,OK
10,2000,02 - February,362,362,0,OK
10,2000,03 - March,337,337,0,OK
10,2000,04 - April,258,258,0,OK
10,2000,05 - May,289,289,0,OK
10,2000,06 - June,290,290,0,OK
10,2000,07 - July,333,333,0,OK
10,2000,08 - August,381,381,0,OK
10,2000,09 - September,380,380,0,OK
10,2000,10 - October,419,419,0,OK
10,2000,11 - November,340,340,0,OK
10,2000,12 - December,327,327,0,OK
11,2001,01 - January,349,349,0,OK
11,2001,02 - February,312,312,0,OK
11,2001,03 - March,408,408,0,OK
11,2001,04 - April,414,414,0,OK
11,2001,05 - May,413,413,0,OK
11,2001,06 - June,431,431,0,OK
11,2001,07 - July,438,438,0,OK
11,2001,08 - August,484,484,0,OK
11,2001,09 - September,347,347,0,OK
11,2001,10 - October,367,367,0,OK
11,2001,11 - November,313,313,0,OK
11,2001,12 - December,311,311,0,OK
11,2002,01 - January,250,250,0,OK
11,2002,02 - February,246,246,0,OK
11,2002,03 - March,263,263,0,OK
11,2002,04 - April,292,292,0,OK
11,2002,05 - May,335,335,0,OK
11,2002,06 - June,369,369,0,OK
11,2002,07 - July,348,348,0,OK
11,2002,08 - August,370,370,0,OK
11,2002,09 - September,332,332,0,OK
11,2002,10 - October,328,328,0,OK
11,2002,11 - November,339,339,0,OK
11,2002,12 - December,287,287,0,OK
11,2003,01 - January,321,321,0,OK
11,2003,02 - February,299,299,0,OK
11,2003,03 - March,344,344,0,OK
11,2003,04 - April,347,347,0,OK
11,2003,05 - May,385,385,0,OK
11,2003,06 - June,369,369,0,OK
11,2003,07 - July,422,422,0,OK
11,2003,08 - August,391,391,0,OK
11,2003,09 - September,364,364,0,OK
11,2003,10 - October,398,398,0,OK
11,2003,11 - November,347,347,0,OK
11,2003,12 - December,333,333,0,OK
11,2004,01 - January,338,338,0,OK
11,2004,02 - February,335,335,0,OK
11,2004,03 - March,341,341,0,OK
11,2004,04 - April,379,379,0,OK
11,2004,05 - May,432,432,0,OK
11,2004,06 - June,354,354,0,OK
11,2004,07 - July,375,375,0,OK
11,2004,08 - August,417,417,0,OK
11,2004,09 - September,382,382,0,OK
11,2004,10 - October,385,385,0,OK
11,2004,11 - November,327,327,0,OK
11,2004,12 - December,385,385,0,OK
11,2005,01 - January,258,258,0,OK
11,2005,02 - February,278,278,0,OK
11,2005,03 - March,409,409,0,OK
11,2005,04 - April,443,443,0,OK
11,2005,05 - May,402,402,0,OK
11,2005,06 - June,415,415,0,OK
11,2005,07 - July,395,395,0,OK
11,2005,08 - August,411,411,0,OK
11,2005,09 - September,439,439,0,OK
11,2005,10 - October,389,389,0,OK
11,2005,11 - November,431,431,0,OK
11,2005,12 - December,430,430,0,OK
11,2006,01 - January,423,423,0,OK
11,2006,02 - February,400,400,0,OK
11,2006,03 - March,453,453,0,OK
11,2006,04 - April,451,451,0,OK
11,2006,05 - May,439,439,0,OK
11,2006,06 - June,508,508,0,OK
11,2006,07 - July,427,427,0,OK
11,2006,08 - August,491,491,0,OK
11,2006,09 - September,417,417,0,OK
11,2006,10 - October,503,503,0,OK
11,2006,11 - November,407,407,0,OK
11,2006,12 - December,428,428,0,OK
11,2007,01 - January,368,368,0,OK
11,2007,02 - February,407,407,0,OK
11,2007,03 - March,482,482,0,OK
11,2007,04 - April,379,379,0,OK
11,2007,05 - May,441,441,0,OK
11,2007,06 - June,439,439,0,OK
11,2007,07 - July,387,387,0,OK
11,2007,08 - August,436,436,0,OK
11,2007,09 - September,429,429,0,OK
11,2007,10 - October,446,446,0,OK
11,2007,11 - November,452,452,0,OK
11,2007,12 - December,372,372,0,OK
11,2008,01 - January,432,432,0,OK
11,2008,02 - February,425,425,0,OK
11,2008,03 - March,463,463,0,OK
11,2008,04 - April,453,453,0,OK
11,2008,05 - May,419,419,0,OK
11,2008,06 - June,401,401,0,OK
11,2008,07 - July,530,530,0,OK
11,2008,08 - August,509,509,0,OK
11,2008,09 - September,500,500,0,OK
11,2008,10 - October,513,513,0,OK
11,2008,11 - November,441,441,0,OK
11,2008,12 - December,391,391,0,OK
11,2009,01 - January,311,311,0,OK
11,2009,02 - February,284,284,0,OK
11,2009,03 - March,272,272,0,OK
11,2009,04 - April,233,233,0,OK
11,2009,05 - May,213,213,0,OK
11,2009,06 - June,269,269,0,OK
11,2009,07 - July,258,258,0,OK
11,2009,08 - August,240,240,0,OK
11,2009,09 - September,210,210,0,OK
11,2009,10 - October,198,198,0,OK
11,2009,11 - November,183,183,0,OK
11,2009,12 - December,218,218,0,OK
11,2010,01 - January,238,238,0,OK
11,2010,02 - February,210,210,0,OK
11,2010,03 - March,233,233,0,OK
11,2010,04 - April,272,272,0,OK
11,2010,05 - May,265,265,0,OK
11,2010,06 - June,271,271,0,OK
11,2010,07 - July,282,282,0,OK
11,2010,08 - August,292,292,0,OK
11,2010,09 - September,282,282,0,OK
11,2010,10 - October,276,276,0,OK
11,2010,11 - November,259,259,0,OK
11,2010,12 - December,239,239,0,OK
11,2011,01 - January,277,277,0,OK
11,2011,02 - February,219,219,0,OK
11,2011,03 - March,311,311,0,OK
11,2011,04 - April,294,294,0,OK
11,2011,05 - May,314,314,0,OK
11,2011,06 - June,328,328,0,OK
11,2011,07 - July,297,297,0,OK
11,2011,08 - August,326,326,0,OK
11,2011,09 - September,271,271,0,OK
11,2011,10 - October,301,301,0,OK
11,2011,11 - November,273,273,0,OK
11,2011,12 - December,267,267,0,OK
11,2012,01 - January,282,282,0,OK
11,2012,02 - February,282,282,0,OK
11,2012,03 - March,308,308,0,OK
11,2012,04 - April,303,303,0,OK
11,2012,05 - May,333,333,0,OK
11,2012,06 - June,336,336,0,OK
11,2012,07 - July,328,328,0,OK
11,2012,08 - August,345,345,0,OK
11,2012,09 - September,286,286,0,OK
11,2012,10 - October,375,375,0,OK
11,2012,11 - November,324,324,0,OK
11,2012,12 - December,325,325,0,OK
12,2013,01 - January,305,305,0,OK
12,2013,02 - February,319,319,0,OK
12,2013,03 - March,378,378,0,OK
12,2013,04 - April,350,350,0,OK
12,2013,05 - May,326,326,0,OK
12,2013,06 - June,353,353,0,OK
12,2013,07 - July,328,328,0,OK
12,2013,08 - August,414,414,0,OK
12,2013,09 - September,384,384,0,OK
12,2013,10 - October,387,387,0,OK
12,2013,11 - November,327,327,0,OK
12,2013,12 - December,276,276,0,OK
12,2014,01 - January,399,399,0,OK
12,2014,02 - February,334,334,0,OK
12,2014,03 - March,365,365,0,OK
12,2014,04 - April,408,408,0,OK
12,2014,05 - May,381,381,0,OK
12,2014,06 - June,346,346,0,OK
12,2014,07 - July,369,369,0,OK
12,2014,08 - August,411,411,0,OK
12,2014,09 - September,428,428,0,OK
12,2014,10 - October,452,452,0,OK
12,2014,11 - November,302,302,0,OK
12,2014,12 - December,324,324,0,OK
12,2015,01 - January,315,315,0,OK
12,2015,02 - February,273,273,0,OK
12,2015,03 - March,287,287,0,OK
12,2015,04 - April,258,258,0,OK
12,2015,05 - May,230,230,0,OK
12,2015,06 - June,227,227,0,OK
12,2015,07 - July,350,350,0,OK
12,2015,08 - August,271,271,0,OK
12,2015,09 - September,263,263,0,OK
12,2015,10 - October,261,261,0,OK
12,2015,11 - November,223,223,0,OK
12,2015,12 - December,169,169,0,OK
12,2016,01 - January,227,227,0,OK
12,2016,02 - February,179,179,0,OK
12,2016,03 - March,214,214,0,OK
12,2016,04 - April,294,294,0,OK
12,2016,05 - May,164,164,0,OK
12,2016,06 - June,177,177,0,OK
12,2016,07 - July,192,192,0,OK
12,2016,08 - August,200,200,0,OK
12,2016,09 - September,193,193,0,OK
12,2016,10 - October,204,204,0,OK
12,2016,11 - November,210,210,0,OK
12,2016,12 - December,224,224,0,OK
12,2017,01 - January,301,301,0,OK
12,2017,02 - February,188,188,0,OK
12,2017,03 - March,207,207,0,OK
12,2017,04 - April,182,182,0,OK
12,2017,05 - May,221,221,0,OK
12,2017,06 - June,214,214,0,OK
12,2017,07 - July,200,200,0,OK
12,2017,08 - August,237,237,0,OK
12,2017,09 - September,222,222,0,OK
12,2017,10 - October,234,234,0,OK
12,2017,11 - November,223,223,0,OK
12,2017,12 - December,229,229,0,OK
12,2018,01 - January,184,184,0,OK
12,2018,02 - February,190,190,0,OK
12,2018,03 - March,242,242,0,OK
12,2018,04 - April,271,271,0,OK
12,2018,05 - May,236,236,0,OK
12,2018,06 - June,246,246,0,OK
12,2018,07 - July,228,228,0,OK
12,2018,08 - August,266,266,0,OK
12,2018,09 - September,244,244,0,OK
12,2018,10 - October,243,243,0,OK
12,2018,11 - November,235,235,0,OK
12,2018,12 - December,214,214,0,OK
13,2019,01 - January,204,204,0,OK
13,2019,02 - February,178,178,0,OK
13,2019,03 - March,242,242,0,OK
13,2019,04 - April,216,216,0,OK
13,2019,05 - May,175,175,0,OK
13,2019,06 - June,226,226,0,OK
13,2019,07 - July,191,191,0,OK
13,2019,08 - August,207,207,0,OK
13,2019,09 - September,190,190,0,OK
13,2019,10 - October,198,198,0,OK
13,2019,11 - November,163,163,0,OK
13,2019,12 - December,128,128,0,OK
13,2020,01 - January,200,200,0,OK
13,2020,02 - February,182,182,0,OK
13,2020,03 - March,167,167,0,OK
13,2020,04 - April,66,66,0,OK
13,2020,05 - May,60,60,0,OK
13,2020,06 - June,134,134,0,OK
13,2020,07 - July,84,84,0,OK
13,2020,08 - August,72,72,0,OK
13,2020,09 - September,52,52,0,OK
13,2020,10 - October,74,74,0,OK
13,2020,11 - November,76,76,0,OK
13,2020,12 - December,66,66,0,OK
13,2021,01 - January,72,72,0,OK
13,2021,02 - February,62,62,0,OK
13,2021,03 - March,82,82,0,OK
13,2021,04 - April,108,108,0,OK
13,2021,05 - May,87,87,0,OK
13,2021,06 - June,130,130,0,OK
13,2021,07 - July,90,90,0,OK
13,2021,08 - August,100,100,0,OK
13,2021,09 - September,122,122,0,OK
13,2021,10 - October,125,125,0,OK
13,2021,11 - November,91,91,0,OK
13,2021,12 - December,113,113,0,OK
13,2022,01 - January,112,112,0,OK
13,2022,02 - February,116,116,0,OK
13,2022,03 - March,200,200,0,OK
13,2022,04 - April,145,145,0,OK
13,2022,05 - May,141,141,0,OK
13,2022,06 - June,1,1,0,OK
13,2022,07 - July,6,6,0,OK
13,2022,08 - August,12,12,0,OK
13,2022,09 - September,6,6,0,OK
13,2022,10 - October,14,14,0,OK
13,2022,11 - November,94,587,493,S3_EXTRA_493
13,2022,12 - December,95,95,0,OK
13,2023,01 - January,96,96,0,OK
13,2023,02 - February,88,88,0,OK
13,2023,03 - March,98,98,0,OK
13,2023,04 - April,119,119,0,OK
13,2023,05 - May,79,79,0,OK
13,2023,06 - June,81,81,0,OK
13,2023,07 - July,76,76,0,OK
13,2023,08 - August,72,72,0,OK
13,2023,09 - September,64,64,0,OK
13,2023,10 - October,73,73,0,OK
13,2023,11 - November,67,67,0,OK
13,2023,12 - December,70,70,0,OK
13,2024,01 - January,43,43,0,OK
13,2024,02 - February,57,57,0,OK
13,2024,03 - March,51,51,0,OK
13,2024,04 - April,75,75,0,OK
13,2024,05 - May,44,44,0,OK
13,2024,06 - June,43,43,0,OK
13,2024,07 - July,45,45,0,OK
13,2024,08 - August,35,35,0,OK
13,2024,09 - September,25,25,0,OK
13,2024,10 - October,11,11,0,OK
13,2024,11 - November,3,3,0,OK
13,2024,12 - December,0,0,0,OK
