pdf_stem,pdf_path,page,grid_w,grid_h,method,correct,note,grid_png
03738812_MARTHA BIGPOND 13_1030553,D:\ExportedFolderContents (1)\1911\02 - February\03738812_MARTHA BIGPOND 13_1030553.pdf,,447,432,adaptive@3x,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\03738812_MARTHA BIGPOND 13_1030553_grid.png
X_LEVI T ROGERS 12_2455843,D:\ExportedFolderContents (1)\1911\03 - March\X_LEVI T ROGERS 12_2455843.pdf,,313,317,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_LEVI T ROGERS 12_2455843_grid.png
01911043_LEDBETTER AND TERRELL 58_911295,D:\ExportedFolderContents (1)\1911\04 - April\01911043_LEDBETTER AND TERRELL 58_911295.pdf,,319,312,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\01911043_LEDBETTER AND TERRELL 58_911295_grid.png
11703699_D B LAYTON 5_1030618,D:\ExportedFolderContents (1)\1911\08 - August\11703699_D B LAYTON 5_1030618.pdf,,543,494,hough,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11703699_D B LAYTON 5_1030618_grid.png
35147763580000_R M WOLFE 13_1380805,D:\ExportedFolderContents (1)\1911\09 - September\35147763580000_R M WOLFE 13_1380805.pdf,,307,297,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147763580000_R M WOLFE 13_1380805_grid.png
14305638_WILLIAM ELLIS 2_1401175,D:\ExportedFolderContents (1)\1911\01 - January\14305638_WILLIAM ELLIS 2_1401175.pdf,,301,304,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14305638_WILLIAM ELLIS 2_1401175_grid.png
10520480_DELAWARE DISTRICT 43 E-7_1401303,D:\ExportedFolderContents (1)\1911\09 - September\10520480_DELAWARE DISTRICT 43 E-7_1401303.pdf,,207,207,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\10520480_DELAWARE DISTRICT 43 E-7_1401303_grid.png
X_ALICE GUINN 4_512170,D:\ExportedFolderContents (1)\1911\03 - March\X_ALICE GUINN 4_512170.pdf,,314,317,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_ALICE GUINN 4_512170_grid.png
11702205_SCHOOL LAND 2_1030661,D:\ExportedFolderContents (1)\1911\12 - December\11702205_SCHOOL LAND 2_1030661.pdf,,296,294,otsu,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11702205_SCHOOL LAND 2_1030661_grid.png
X_AMINDA SCOTT 2_1401342,D:\ExportedFolderContents (1)\1911\10 - October\X_AMINDA SCOTT 2_1401342.pdf,,301,300,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_AMINDA SCOTT 2_1401342_grid.png
