pdf_stem,pdf_path,status,method,grid_w,grid_h,page_w,page_h,grid_png
14305638_WILLIAM ELLIS 2_1401175,D:\ExportedFolderContents (1)\1911\01 - January\14305638_WILLIAM ELLIS 2_1401175.pdf,detected,adaptive,301,304,1166,1838,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14305638_WILLIAM ELLIS 2_1401175_grid.png
10520480_DELAWARE DISTRICT 43 E-7_1401303,D:\ExportedFolderContents (1)\1911\09 - September\10520480_DELAWARE DISTRICT 43 E-7_1401303.pdf,detected,adaptive,207,207,1610,1280,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\10520480_DELAWARE DISTRICT 43 E-7_1401303_grid.png
X_ALICE GUINN 4_512170,D:\ExportedFolderContents (1)\1911\03 - March\X_ALICE GUINN 4_512170.pdf,detected,adaptive,314,317,1228,1912,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_ALICE GUINN 4_512170_grid.png
11702205_SCHOOL LAND 2_1030661,D:\ExportedFolderContents (1)\1911\12 - December\11702205_SCHOOL LAND 2_1030661.pdf,detected,otsu,296,294,1232,1996,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11702205_SCHOOL LAND 2_1030661_grid.png
X_AMINDA SCOTT 2_1401342,D:\ExportedFolderContents (1)\1911\10 - October\X_AMINDA SCOTT 2_1401342.pdf,detected,adaptive,301,300,1232,1892,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_AMINDA SCOTT 2_1401342_grid.png
x_MILLIE HAWKINS FARM (5 WELLS)_512246,D:\ExportedFolderContents (1)\1911\11 - November\x_MILLIE HAWKINS FARM (5 WELLS)_512246.pdf,detected,canny,307,305,1238,1598,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_MILLIE HAWKINS FARM (5 WELLS)_512246_grid.png
3514308526_PERRYMAN 18_1380832,D:\ExportedFolderContents (1)\1911\12 - December\3514308526_PERRYMAN 18_1380832.pdf,detected,adaptive,304,309,1250,1982,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\3514308526_PERRYMAN 18_1380832_grid.png
X_ALWELL 2_2455874,D:\ExportedFolderContents (1)\1911\06 - June\X_ALWELL 2_2455874.pdf,detected,canny,298,301,1264,1860,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_ALWELL 2_2455874_grid.png
X_LEVI T ROGERS 13_2455830,D:\ExportedFolderContents (1)\1911\03 - March\X_LEVI T ROGERS 13_2455830.pdf,detected,otsu,310,314,1252,1958,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_LEVI T ROGERS 13_2455830_grid.png
11702089_JOHN MCNEAL 2_1030609,D:\ExportedFolderContents (1)\1911\07 - July\11702089_JOHN MCNEAL 2_1030609.pdf,detected,adaptive,305,301,1264,1816,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11702089_JOHN MCNEAL 2_1030609_grid.png
35117059740000_JONES & WELLS 3_2270977,D:\ExportedFolderContents (1)\1911\09 - September\35117059740000_JONES & WELLS 3_2270977.pdf,detected,adaptive,295,294,1188,1910,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35117059740000_JONES & WELLS 3_2270977_grid.png
35147763470000_ABE KETCHUM 2_1380746,D:\ExportedFolderContents (1)\1911\04 - April\35147763470000_ABE KETCHUM 2_1380746.pdf,detected,adaptive,318,327,1258,1868,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147763470000_ABE KETCHUM 2_1380746_grid.png
03713356_CO-CO-TAH-LA-NEY 6_1030541,D:\ExportedFolderContents (1)\1911\01 - January\03713356_CO-CO-TAH-LA-NEY 6_1030541.pdf,detected,adaptive,378,346,1236,1778,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\03713356_CO-CO-TAH-LA-NEY 6_1030541_grid.png
14305459_SAM KEYS 3_1401196,D:\ExportedFolderContents (1)\1911\03 - March\14305459_SAM KEYS 3_1401196.pdf,detected,canny,298,324,1246,1956,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14305459_SAM KEYS 3_1401196_grid.png
x_A HOGNER 4_512250,D:\ExportedFolderContents (1)\1911\11 - November\x_A HOGNER 4_512250.pdf,detected,canny,298,301,1224,2016,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_A HOGNER 4_512250_grid.png
35111761570000_MELVIN COLLINS 1_1982560,D:\ExportedFolderContents (1)\1911\12 - December\35111761570000_MELVIN COLLINS 1_1982560.pdf,detected,adaptive,303,304,1216,1946,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35111761570000_MELVIN COLLINS 1_1982560_grid.png
35117037510000_STOCKTON 5_1982508,D:\ExportedFolderContents (1)\1911\05 - May\35117037510000_STOCKTON 5_1982508.pdf,detected,adaptive,308,312,1304,1942,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35117037510000_STOCKTON 5_1982508_grid.png
X_SALES 13_2455922,D:\ExportedFolderContents (1)\1911\11 - November\X_SALES 13_2455922.pdf,detected,adaptive,327,330,1278,1916,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_SALES 13_2455922_grid.png
11703700_D B LAYTON 6_1030558,D:\ExportedFolderContents (1)\1911\03 - March\11703700_D B LAYTON 6_1030558.pdf,detected,adaptive,300,302,1218,1576,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11703700_D B LAYTON 6_1030558_grid.png
X_LEVI T ROGERS 11_2455819,D:\ExportedFolderContents (1)\1911\03 - March\X_LEVI T ROGERS 11_2455819.pdf,detected,adaptive,314,315,1236,1910,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_LEVI T ROGERS 11_2455819_grid.png
35105047670000_W R DAWSON_2455864,D:\ExportedFolderContents (1)\1911\05 - May\35105047670000_W R DAWSON_2455864.pdf,detected,adaptive,292,292,1234,1924,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35105047670000_W R DAWSON_2455864_grid.png
X_A TUCKER 1_2271018,D:\ExportedFolderContents (1)\1911\12 - December\X_A TUCKER 1_2271018.pdf,detected,adaptive,296,295,1256,1954,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_A TUCKER 1_2271018_grid.png
14705702_HENRY HOUSEBUG 2_1401371,D:\ExportedFolderContents (1)\1911\12 - December\14705702_HENRY HOUSEBUG 2_1401371.pdf,detected,adaptive,302,299,1222,1994,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14705702_HENRY HOUSEBUG 2_1401371_grid.png
03713375_ADA AUBREY 11_1030597,D:\ExportedFolderContents (1)\1911\06 - June\03713375_ADA AUBREY 11_1030597.pdf,detected,adaptive,326,329,1184,1822,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\03713375_ADA AUBREY 11_1030597_grid.png
10505645_L L ROBBINS 8_1613742,D:\ExportedFolderContents (1)\1911\02 - February\10505645_L L ROBBINS 8_1613742.pdf,missed,,0,0,1242,1860,
X_E RATCLIFF 11_2270941,D:\ExportedFolderContents (1)\1911\05 - May\X_E RATCLIFF 11_2270941.pdf,missed,,0,0,1112,1892,
35147763480000_ABE KETCHUM 3_1380750,D:\ExportedFolderContents (1)\1911\05 - May\35147763480000_ABE KETCHUM 3_1380750.pdf,detected,adaptive,319,325,1242,1942,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147763480000_ABE KETCHUM 3_1380750_grid.png
35147763680000_RICHARD WOLFE 5_1380794,D:\ExportedFolderContents (1)\1911\09 - September\35147763680000_RICHARD WOLFE 5_1380794.pdf,missed,,0,0,1192,1902,
14700922_ETTIE WHITETURKEY 2_512180,D:\ExportedFolderContents (1)\1911\04 - April\14700922_ETTIE WHITETURKEY 2_512180.pdf,detected,adaptive,315,318,1216,1996,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14700922_ETTIE WHITETURKEY 2_512180_grid.png
35111761560000_G A MURPHY 1_3140508,D:\ExportedFolderContents (1)\1911\01 - January\35111761560000_G A MURPHY 1_3140508.pdf,detected,adaptive,294,293,1204,1557,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35111761560000_G A MURPHY 1_3140508_grid.png
14700959_GEORGE WHITETURKEY 3_512208,D:\ExportedFolderContents (1)\1911\07 - July\14700959_GEORGE WHITETURKEY 3_512208.pdf,detected,adaptive,299,300,1274,1832,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14700959_GEORGE WHITETURKEY 3_512208_grid.png
35147763650000_R M WOLFE 9_1380785,D:\ExportedFolderContents (1)\1911\08 - August\35147763650000_R M WOLFE 9_1380785.pdf,detected,adaptive,304,294,1216,1914,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147763650000_R M WOLFE 9_1380785_grid.png
X_GEORGE COCHRAN 17_2455793,D:\ExportedFolderContents (1)\1911\02 - February\X_GEORGE COCHRAN 17_2455793.pdf,detected,adaptive,309,315,1200,1868,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_GEORGE COCHRAN 17_2455793_grid.png
01911047_LEDBETTER AND TERRELL 62_911299,D:\ExportedFolderContents (1)\1911\06 - June\01911047_LEDBETTER AND TERRELL 62_911299.pdf,detected,adaptive,322,317,1238,1976,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\01911047_LEDBETTER AND TERRELL 62_911299_grid.png
X_RIVERBED 1_1982460,D:\ExportedFolderContents (1)\1911\01 - January\X_RIVERBED 1_1982460.pdf,detected,adaptive,310,304,1252,2030,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_RIVERBED 1_1982460_grid.png
x_MILLIE HAWKINS FARM (MULTIPLE WELLS)_512225,D:\ExportedFolderContents (1)\1911\08 - August\x_MILLIE HAWKINS FARM (MULTIPLE WELLS)_512225.pdf,detected,otsu,310,304,1232,1596,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_MILLIE HAWKINS FARM (MULTIPLE WELLS)_512225_grid.png
X_BETSY SAM_2455856,D:\ExportedFolderContents (1)\1911\04 - April\X_BETSY SAM_2455856.pdf,detected,adaptive,293,293,1176,1874,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_BETSY SAM_2455856_grid.png
11702204_SCHOOL LAND 1_1030644,D:\ExportedFolderContents (1)\1911\10 - October\11702204_SCHOOL LAND 1_1030644.pdf,detected,adaptive,323,304,1198,1794,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11702204_SCHOOL LAND 1_1030644_grid.png
03701259_JUDY BARNETT 2_1030643,D:\ExportedFolderContents (1)\1911\10 - October\03701259_JUDY BARNETT 2_1030643.pdf,missed,,0,0,1570,1220,
X_J BOWLES_2455867,D:\ExportedFolderContents (1)\1911\05 - May\X_J BOWLES_2455867.pdf,detected,adaptive,299,306,1306,1984,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_J BOWLES_2455867_grid.png
35037107680000_BENNIE GILCREASE_1982542,D:\ExportedFolderContents (1)\1911\09 - September\35037107680000_BENNIE GILCREASE_1982542.pdf,detected,adaptive,344,340,1276,1862,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35037107680000_BENNIE GILCREASE_1982542_grid.png
35143764150000_B ELLICK 1_2270894,D:\ExportedFolderContents (1)\1911\03 - March\35143764150000_B ELLICK 1_2270894.pdf,detected,adaptive,300,301,1294,1812,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35143764150000_B ELLICK 1_2270894_grid.png
X_GEO WEST_2455772,D:\ExportedFolderContents (1)\1911\01 - January\X_GEO WEST_2455772.pdf,detected,adaptive,302,300,1202,1966,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_GEO WEST_2455772_grid.png
35147029660000_OSCAR HENRY 1_2270873,D:\ExportedFolderContents (1)\1911\01 - January\35147029660000_OSCAR HENRY 1_2270873.pdf,detected,adaptive,319,312,1220,1872,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147029660000_OSCAR HENRY 1_2270873_grid.png
X_W R DAWSON_2455841,D:\ExportedFolderContents (1)\1911\03 - March\X_W R DAWSON_2455841.pdf,detected_3x,adaptive@3x,453,443,1254,2012,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_W R DAWSON_2455841_grid.png
x_ANGIE L MORRISON 2_512179,D:\ExportedFolderContents (1)\1911\04 - April\x_ANGIE L MORRISON 2_512179.pdf,detected,canny,277,279,1280,1998,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_ANGIE L MORRISON 2_512179_grid.png
X_SANDERS_2455905,D:\ExportedFolderContents (1)\1911\10 - October\X_SANDERS_2455905.pdf,detected,canny,300,304,1284,2062,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_SANDERS_2455905_grid.png
14700960_GEO WHITETURKEY 4_512265,D:\ExportedFolderContents (1)\1911\12 - December\14700960_GEO WHITETURKEY 4_512265.pdf,detected,adaptive,314,316,1274,1848,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14700960_GEO WHITETURKEY 4_512265_grid.png
14700919_SAM MAYES 1_512165,D:\ExportedFolderContents (1)\1911\02 - February\14700919_SAM MAYES 1_512165.pdf,detected,adaptive,304,307,1284,1994,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14700919_SAM MAYES 1_512165_grid.png
35105780070000_LEVI KEENER 8_2455916,D:\ExportedFolderContents (1)\1911\11 - November\35105780070000_LEVI KEENER 8_2455916.pdf,detected,adaptive,450,452,1238,1832,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35105780070000_LEVI KEENER 8_2455916_grid.png
OSAGE_OSAGE_2271004,D:\ExportedFolderContents (1)\1911\11 - November\OSAGE_OSAGE_2271004.pdf,detected,adaptive,303,300,1280,1960,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\OSAGE_OSAGE_2271004_grid.png
14305028_ADA FOWLER 5_1400550,D:\ExportedFolderContents (1)\1911\07 - July\14305028_ADA FOWLER 5_1400550.pdf,detected,adaptive,304,301,1270,1844,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14305028_ADA FOWLER 5_1400550_grid.png
x_JOSEPH GIBSON 1_512190,D:\ExportedFolderContents (1)\1911\05 - May\x_JOSEPH GIBSON 1_512190.pdf,detected,adaptive,300,299,1276,1896,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_JOSEPH GIBSON 1_512190_grid.png
14701739_ELLA WILLIAMS 2_1401201,D:\ExportedFolderContents (1)\1911\03 - March\14701739_ELLA WILLIAMS 2_1401201.pdf,detected,adaptive,317,319,1180,1864,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14701739_ELLA WILLIAMS 2_1401201_grid.png
X_RICHARD WOODWARD 120A_2356022,D:\ExportedFolderContents (1)\1911\05 - May\X_RICHARD WOODWARD 120A_2356022.pdf,detected,adaptive,309,313,1224,2016,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_RICHARD WOODWARD 120A_2356022_grid.png
35147763670000_RICHARD WOLFE 4_1380761,D:\ExportedFolderContents (1)\1911\05 - May\35147763670000_RICHARD WOLFE 4_1380761.pdf,detected,otsu,307,307,1232,1936,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147763670000_RICHARD WOLFE 4_1380761_grid.png
X_J. COLLIERS 3_2270903,D:\ExportedFolderContents (1)\1911\03 - March\X_J. COLLIERS 3_2270903.pdf,detected,adaptive,311,301,1228,1992,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_J. COLLIERS 3_2270903_grid.png
14701584_LIZZIE SUNDAY 1_1401227,D:\ExportedFolderContents (1)\1911\04 - April\14701584_LIZZIE SUNDAY 1_1401227.pdf,detected,adaptive,327,333,1234,1854,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14701584_LIZZIE SUNDAY 1_1401227_grid.png
X_GEORGE COCHRAN 15_2455788,D:\ExportedFolderContents (1)\1911\01 - January\X_GEORGE COCHRAN 15_2455788.pdf,detected_3x,canny@3x,466,466,1280,1908,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_GEORGE COCHRAN 15_2455788_grid.png
X_DAWSON_2455901,D:\ExportedFolderContents (1)\1911\09 - September\X_DAWSON_2455901.pdf,detected,adaptive,295,294,1188,1908,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_DAWSON_2455901_grid.png
14703267_C A LUNDAY 2_512168,D:\ExportedFolderContents (1)\1911\03 - March\14703267_C A LUNDAY 2_512168.pdf,detected,adaptive,347,343,1206,1908,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14703267_C A LUNDAY 2_512168_grid.png
